NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_418781.1	WP_000799911.1	100	100	dnaC	b4361	dnaC	LF82_RS23295														LF82_RS00860	b0162	43.4	20.35	98	65.2	44.67	24.28
NP_418120.2	WP_001350419.1	100	98.423	adeQ	b3664	adeQ	LF82_RS19265														LF82_RS00865	b0163	72.11	63.32	172.37	147.69	206.35	44.64
NP_416683.1	WP_000501604.1	100	100	yejB	b2178	yejB	LF82_RS11475														LF82_RS00870	b0166	235.27	224.85	621.32	336.81	408.53	121.64
YP_026263.3	WP_000035581.1	100	100	recQ	b3822	recQ	LF82_RS20045														LF82_RS00875	b0167	64.44	32.65	159.04	89.23	177.01	71.56
NP_418804.1	WP_000124608.1	100	99.533	ytjB	b4387	ytjB	LF82_RS25915														LF82_RS00880	b0168	262.35	255.63	494	419.8	713.29	263.13
NP_416267.1	WP_000524076.1	100	97.802	ynjA	b1753	ynjA	LF82_RS09110														LF82_RS00885	b0169	2808.96	2101.62	3113.81	2460.1	3997.77	1945.64
NP_418028.1	WP_000761211.1	100	97.189	malS	b3571	malS	LF82_RS18765														LF82_RS00890	b0170	3008.35	2360.71	3800.6	2721.64	4492.09	2036.18
NP_416103.2	WP_000778146.1	100	98.02	ynfD	b1586	ynfD	LF82_RS08245														LF82_RS00895	b0171	270.34	194.94	347.24	306.58	556.6	273.89
NP_414878.1	WP_000177875.1	100	97.363	lacZ	b0344	lacZ	LF82_RS01750														LF82_RS00900	b0172	923.75	663.38	1531.46	912.58	1370.93	713.99
NP_416904.1	WP_001109796.1	100	99.675	yfeR	b2409	yfeR	LF82_RS12560														LF82_RS00905	b0173	144.62	80.2	214.99	177.69	286.93	109.62
NP_414827.1	WP_000730982.1	100	99.487	ecpA	b0293	ecpA	LF82_RS01470														LF82_RS00910	b0174	191.75	158.21	193.29	286.9	440.57	207.27
NP_416826.1	WP_000817178.1	100	100	fabB	b2323	fabB	LF82_RS12205														LF82_RS00915	b0175	146.17	111.02	136.16	230.98	344.21	144.5
NP_415943.4	WP_001296056.1	100	98.649	ydcH	b1426	ydcH	LF82_RS07320														LF82_RS00920	b0176	587.22	377.82	789.94	643.29	938.4	437.59
NP_417095.1	WP_000969007.1	100	98.775	dgcN	b2604	dgcN	LF82_RS13470														LF82_RS00925	b0177	1240.45	880.17	1632.2	1461.45	1898.54	913.64
NP_415256.1	WP_001048602.1	100	100	sucC	b0728	sucC	LF82_RS03420														LF82_RS00930	b0178	615.36	373.5	1077.62	736.96	999.77	543.72
NP_416874.1	WP_001283506.1	100	99.645	oxc	b2373	oxc	LF82_RS12375														LF82_RS00935	b0179	1129.55	832.88	1751.83	1250.27	1607.68	635.69
NP_415808.1	WP_001146163.1	100	100	sapC	b1292	sapC	LF82_RS06915														LF82_RS00940	b0180	300.85	240.33	394.48	262.58	420.97	193.88
NP_415957.1	WP_000047434.1	100	98.163	ydcS	b1440	ydcS	LF82_RS07380														LF82_RS00945	b0181	325.29	261.56	454.27	331.05	537.15	266.75
NP_418738.1	WP_001244830.1	100	97.727	fimF	b4318	fimF	LF82_RS23010														LF82_RS00950	b0182	476.87	411	528.33	482.39	755.72	220.6
NP_415366.1	WP_000217859.1	100	100	ybjJ	b0845	ybjJ	LF82_RS04025														LF82_RS00955	b0183	102.42	79	92.78	86.53	169.53	111.33
NP_416949.1	WP_000929720.1	100	98.561	eutJ	b2454	eutJ	LF82_RS12730														LF82_RS00960	b0184	536.78	383.17	510.88	485.11	765.85	369.77
NP_415793.1	WP_001176294.1	100	99.49	ribA	b1277	ribA	LF82_RS06810														LF82_RS00965	b0185	354.42	265.52	502.02	380.72	594.04	288.73
NP_417178.1	WP_000140506.1	100	99.398	recX	b2698	recX	LF82_RS13990														LF82_RS00970	b0186	111.2	87.83	159.28	154.39	175.31	176.02
NP_416370.2	WP_001184045.1	100	100	mepM	b1856	mepM	LF82_RS09670														LF82_RS00975	b0187	10.28	14.11	19.99	17.11	10.03	12
NP_415145.1	WP_000050328.1	100	99.795	citT	b0612	citT	LF82_RS02890														LF82_RS00980	b0188	79.32	66.23	181.06	62.45	81.62	36.95
NP_417464.1	WP_000334896.1	100	100	hybG	b2990	hybG	LF82_RS15680														LF82_RS00985	b0189	41.92	9.67	98.22	54.8	62.4	30
NP_414898.4	WP_000362014.1	100	95.135	yaiS	b0364	yaiP	LF82_RS01795														LF82_RS00990	b4406	34.94	21.5	126.17	67	66.62	38.5
NP_417818.1	WP_000963809.1	100	98.522	argD	b3359	argD	LF82_RS17595														LF82_RS00995	b0190	51.12	34.63	55.72	63.97	88.39	25.76
NP_416340.1	WP_000714544.1	100	97.872	mgrB	b1826	mgrB	LF82_RS09490														LF82_RS01000	b0191	44.08	18.46	75.15	38.62	71.9	21.49
NP_416141.4	WP_001282531.1	100	99.133	ydgJ	b1624	ydgJ	LF82_RS08440														LF82_RS01005	b0192	44.52	30.99	85.07	45.28	77.47	37
NP_418271.1	WP_001196238.1	100	100	bioP	b3827	bioP	LF82_RS20070														LF82_RS01010	b0193	47.56	32.85	39.3	30.29	84.21	17.12
NP_417502.1	WP_000195274.1	100	99.841	parE	b3030	parE	LF82_RS15940														LF82_RS01015	b0194	806.3	628.23	1442.07	704.96	1251.52	551.5
YP_026195.1	WP_000691611.1	100	97.727	yqhG	b3013	yqhG	LF82_RS15795														LF82_RS01020	b0195	62.92	63.03	141.32	124.12	221.58	48.23
NP_418378.4	WP_001271242.1	100	100	yijE	b3943	yijE	LF82_RS20810														LF82_RS01025	b0196	64.39	26.58	102.08	97.92	150.71	70.23
NP_417691.4	WP_000108474.1	100	99.194	nanT	b3224	nanT	LF82_RS16855														LF82_RS01030	b0197	73.95	74.12	132.92	105.91	168.31	72.6
YP_002791249.1	WP_000691708.1	100	100	yohP	b4679	yohP	LF82_RS11265														LF82_RS01035	b0198	22.6	34.63	57.65	39.4	62.06	27.54
NP_416168.1	WP_001237802.1	100	99.259	gloA	b1651	gloA	LF82_RS08585														LF82_RS01040	b0199	35.76	24.57	42.29	30.35	66.68	38
YP_026244.1	WP_000102319.1	100	100	kup	b3747	kup	LF82_RS19675														LF82_RS01045	b0200	70.9	51.49	135.86	96.07	162.42	50.6
NP_418618.1	WP_000949498.1	100	99.296	ulaE	b4197	ulaE	LF82_RS22530														LF82_RS01050	#N/A	2883.68	2852.46	4120.83	2920.32	4809.7	1654.84
YP_025307.1	WP_001174939.1	100	99.781	mdtK	b1663	mdtK	LF82_RS08650														LF82_RS01055	#N/A	13642.16	15810.16	24058.41	16312.66	23002.75	7454.81
NP_416782.1	WP_000612644.1	100	100	nuoK	b2279	nuoK	LF82_RS11980														LF82_RS01060	#N/A	25332.04	26060.65	53453.76	39321.28	58085.64	20008.64
NP_418815.1	WP_001188687.1	100	98.69	creB	b4398	creB	LF82_RS23510														LF82_RS01065	#N/A	2274.91	1897.66	3765.66	2669.17	3571.97	2879.45
NP_415387.1	WP_001160737.1	100	100	ybjQ	b0866	ybjQ	LF82_RS04135														LF82_RS01070	#N/A	200.59	169.67	236.43	168.15	275.67	162.46
NP_417646.1	WP_000145975.1	100	100	rlmE	b3179	rlmE	LF82_RS16660														LF82_RS01075	#N/A	56156.22	51595.77	130298.78	99909.41	148742.16	38909.2
NP_416744.1	WP_000857238.1	100	99.262	glpA	b2241	glpA	LF82_RS11800														LF82_RS01080	b0207	77.36	51.45	62.44	30.01	123.08	28.33
NP_416705.2	WP_000525586.1	100	99.517	ccmA	b2201	ccmA	LF82_RS11595														LF82_RS01085	b0208	19.15	10.57	71.95	27.21	25.63	17.88
NP_418508.1	WP_001171676.1	100	97.735	alsK	b4084	alsK	LF82_RS21675														LF82_RS01090	b0209	63.62	53	259.11	98.24	98.31	34.38
NP_417741.1	WP_001297709.1	100	98.947	tsaC	b3282	tsaC	LF82_RS17200														LF82_RS01095	b0210	64.64	43.78	162.24	54.08	72.95	24.94
NP_417886.1	WP_000993444.1	100	99.755	glgP	b3428	glgP	LF82_RS17955														LF82_RS01100	b0211	880.55	835.63	593.34	443	851.96	336.01
NP_416272.2	WP_001298224.1	100	96.602	ynjF	b1758	ynjF	LF82_RS09135														LF82_RS01105	b0212	30.27	16	42.69	34.72	43.06	14.12
NP_416751.1	WP_000894191.1	100	97.692	yfaX	b2248	yfaX	LF82_RS11840														LF82_RS01110	b0213	26.78	29.37	75.37	51.95	80.62	21
NP_416671.1	WP_001207098.1	100	88.498	psuK	b2166	psuK	LF82_RS11410														LF82_RS01115	b0214	24.06	18.71	32.31	26.22	50.45	12.52
NP_417159.1	WP_001223227.1	100	100	nrdH	b2673	nrdH	LF82_RS13865														LF82_RS01120	b0215	55.03	51.61	98.72	86.9	103.15	42.52
NP_416393.1	WP_000066983.1	100	99.855	flhA	b1879	flhA	LF82_RS09780														LF82_RS01125	#N/A	55339.95	50247.2	129328.48	99165.71	147020.46	38204.36
NP_415101.1	WP_000383919.1	100	99.732	nfrB	b0569	nrfB	LF82_RS02655														LF82_RS01130	b0217	92.88	87.28	69.28	60.53	94.04	23.94
NP_416825.1	WP_000127769.1	100	98.724	yfcJ	b2322	yfcJ	LF82_RS12200														LF82_RS01135	#N/A	9.17	3.82	11.24	10.33	9.58	0.83
NP_418537.1	WP_000697907.1	100	98.198	basR	b4113	basR	LF82_RS21820														LF82_RS01140	#N/A	11.6	8.33	19.74	11.39	26.47	7.3
NP_417807.1	WP_001153615.1	100	100	slyX	b3348	slyX	LF82_RS17530														LF82_RS01145	#N/A	33	21.83	61.69	26.67	40.16	15
NP_416427.1	WP_001273000.1	100	99.2	tcyN	b1917	tcyN	LF82_RS09960														LF82_RS01150	#N/A	14.9	4.52	13.95	8.09	16.96	1.78
YP_009518750.1	WP_122083095.1	96	88.462	ykiD	b4732	ppnP	LF82_RS25510														LF82_RS01155	#N/A	4.27	1.67	3.25	4.2	4.62	1.28
NP_415028.1	WP_001110573.1	100	100	ybbA	b0495	ybbA	LF82_RS02465														LF82_RS01160	#N/A	10.86	10.16	32.6	17.64	25.29	5.72
NP_418463.4	WP_000019227.1	100	98.182	ubiC	b4039	ubiC	LF82_RS21370														LF82_RS01165	#N/A	3.73	2.6	12.72	9.17	6.06	3.5
NP_416568.1	WP_001252368.1	100	99.676	asmA	b2064	asmA	LF82_RS10895														LF82_RS01170	#N/A	9.2	5.25	10.24	9.38	11.64	5.63
NP_418106.1	WP_000135058.1	100	100	rpoZ	b3649	rpoZ	LF82_RS19130														LF82_RS01175	#N/A	5.5	1.18	1.92	1.32	3.95	4.14
NP_415658.1	WP_000741335.1	99	60.484	intE	b1140	icd	LF82_RS05755														LF82_RS01180	#N/A	8.97	4.81	15.79	5.46	6.68	7.17
NP_415235.1	WP_001075786.1	100	92.899	ybgA	b0707	ybgA	LF82_RS03325														LF82_RS01185	#N/A	9.05	5.57	7.58	4.78	11.31	8.73
NP_416905.1	WP_000765604.1	100	99.699	yfeH	b2410	yfeH	LF82_RS12565														LF82_RS01190	#N/A	28.36	10.67	54.46	33.61	37.72	15.1
NP_416518.2	WP_000019194.1	100	99.779	plaP	b2014	plaP	LF82_RS10670														LF82_RS01195	#N/A	2.5	1.46	6.25	6	4.82	2
NP_415995.4	WP_000642412.1	100	98.512	adhP	b1478	adhP	LF82_RS07610														LF82_RS01200	#N/A	9.64	6.7	10.18	10.45	14.93	2.03
NP_415255.1	WP_000099836.1	100	99.753	sucB	b0727	odhB	LF82_RS03415														LF82_RS01205	#N/A	7.14	3.58	4.31	1.97	5.6	3.61
NP_415206.1	WP_001287134.1	100	99.639	glnS	b0680	glnS	LF82_RS03220														LF82_RS01210	#N/A	4.26	2.19	0.94	6.64	6.06	4.25
YP_026237.1	WP_000705012.1	100	99.738	dgoD	b4478	dgoD	LF82_RS19395														LF82_RS01220	#N/A	16.41	8.68	13.91	10.45	12.68	6.76
NP_417617.1	WP_000246832.1	100	97.71	yraN	b3148	yraN	LF82_RS16505														LF82_RS01225	#N/A	6.72	9.85	16.76	6.64	14.07	7.09
NP_418320.2	WP_000022281.1	99	71.923	csqR	b3884	typA	LF82_RS20440														LF82_RS01230	#N/A	14.09	11.35	25.32	10.11	24.44	6.31
NP_416530.1	WP_000954872.1	100	98.522	hisI	b2026	hisIE	LF82_RS10730														LF82_RS25015	#N/A	8.83	7.32	14.58	12.97	36.07	6.75
NP_415624.1	WP_001116602.1	100	98.175	thiK	b1106	thiK	LF82_RS05595														LF82_RS26010	#N/A	4.4	0.5	5.42	6.18	3.48	1.08
NP_415135.1	WP_000029770.1	100	97.783	ybdN	b0602	ybdN	LF82_RS02850														LF82_RS01240	#N/A	9.35	8.15	11.88	9.42	9.26	9.83
NP_417057.1	WP_001196297.1	100	97.674	yfhL	b2562	yfhL	LF82_RS13215														LF82_RS01245	#N/A	22.6	14.42	32.25	17.4	34.41	2.32
NP_416481.1	WP_001240078.1	100	97.63	msrQ	b1972	msrQ	LF82_RS10230														LF82_RS01250	#N/A	21.17	15.78	25.65	26.25	46.08	7.54
NP_418197.1	WP_000499788.1	100	100	mnmG	b3741	mnmG	LF82_RS19645														LF82_RS01255	#N/A	20.62	13.68	39.12	37.12	68.28	17.5
NP_416641.1	WP_000079547.1	100	98.419	yohF	b2137	yohF	LF82_RS11255														LF82_RS25020	#N/A	17.97	15.36	13.37	16.87	44.54	9.64
NP_417525.1	WP_014640211.1	100	98.837	glnE	b3053	glnE	LF82_RS16070														LF82_RS01270	#N/A	7.38	6	5.78	5.24	19.53	1.5
NP_414828.1	WP_000389022.1	92	97.222	matA	b0294	ykgL	LF82_RS25030														LF82_RS01275	#N/A	3.67	0.73	2.45	2.5	7.54	1.71
NP_417310.1	WP_000758655.1	100	100	ygdR	b2833	ygdR	LF82_RS14815														LF82_RS25465	#N/A	2.08	2.61	1.12	3	8.12	3
NP_418163.1	WP_001364348.1	100	100	tnaC	b3707	tnaC	LF82_RS19480														LF82_RS01280	b0219	4.38	10.27	46.33	34.25	34.48	10.62
NP_416525.1	WP_000108931.1	100	99.157	hisC	b2021	hisC	LF82_RS10705														LF82_RS01285	b0220	71.42	65.42	179.86	89.55	96.3	25.52
NP_414837.2	WP_000474088.1	100	96.154	rclB	b0303	rclB	LF82_RS01545														LF82_RS01290	b0221	40.66	18.94	274.4	57.4	45.66	12.7
NP_417533.1	WP_000986806.1	100	99.34	ttdA	b3061	ttdA	LF82_RS16115														LF82_RS01295	b0222	59.52	57.86	162.98	163.31	188.6	84.58
YP_009518754.1	WP_014640128.1	100	83.673	ylcJ	b4733	emrE	LF82_RS25585														LF82_RS01300	b0223	30.11	32.14	88.05	71.5	110.96	43.5
NP_418660.1	WP_001304663.1	100	97.641	treC	b4239	treC	LF82_RS22770														LF82_RS01305	b0224	208.69	177.48	176.53	66.32	109.31	26.75
YP_588443.1	WP_001272653.1	100	100	kdpF	b4513	kdpF	LF82_RS03315														LF82_RS01310	b0227	3.42	7.35	17.61	11.71	20.26	5.75
NP_417362.4	WP_001765031.1	100	95.679	ygfS	b2886	ygfS	LF82_RS14985														LF82_RS01315	b0228	2.27	5.22	15.82	22.21	8.54	1.5
NP_415518.1	WP_000209904.1	100	95.477	torD	b0998	torD	LF82_RS05065														LF82_RS25470	#N/A	6.31	3	16.52	3.6	11.17	1
NP_414902.1	WP_000004065.1	100	96.82	tauD	b0368	tauD	LF82_RS01815														LF82_RS01320	#N/A	2.59	2.11	12.16	0.63	2.94	2.56
YP_026288.1	WP_001000684.1	98	41.837	yjgN	b4257	yjgM	LF82_RS22855														LF82_RS01325	#N/A	2.39	3.8	7.33	2.5	2.73	0
NP_418552.1	WP_001312331.1	100	98.98	ghoS	b4128	ghoS	LF82_RS21900														LF82_RS01330	b0231	19.29	13.53	41.11	22.47	54.57	20.44
NP_417300.1	WP_001276486.1	100	99.065	ppdC	b2823	ppdC	LF82_RS14755														LF82_RS01335	b0232	19.86	11.09	30.64	11.54	29.46	16.39
NP_416578.2	WP_000678939.1	100	98.795	mdtA	b2074	mdtA	LF82_RS10940														LF82_RS01340	b0233	11.67	16.38	28.49	20.83	34.97	10.19
NP_415478.1	WP_000288723.1	100	99.408	sulA	b0958	sulA	LF82_RS04590														LF82_RS01345	b0234	11.07	8.95	20	11.1	16.97	7
NP_416182.1	WP_000212648.1	100	97.03	ydhR	b1667	ydhR	LF82_RS08670														LF82_RS01350	#N/A	6	9	8.63	3.05	6.16	3.47
NP_417973.1	WP_001182743.1	100	93.066	gadX	b3516	gadX	LF82_RS18440														LF82_RS01355	#N/A	3.45	7.45	3.5	2.77	2.71	0.3
NP_416206.6	WP_001296106.1	100	98.812	ydiN	b1691	ydiN	LF82_RS08790														LF82_RS01360	b0237	386.58	264	857.39	596.93	780.98	376.29
NP_417936.1	WP_001136232.1	100	99.213	nikD	b3479	nikD	LF82_RS18210														LF82_RS01365	b0238	223.78	314.46	179.5	232.62	429.96	153.02
NP_417626.1	WP_001295552.1	100	100	ubiT	b3157	ubiT	LF82_RS16545														LF82_RS01370	b0240	160.69	111.79	265.28	117.71	231.76	78.08
YP_026266.1	WP_000487668.1	100	99.706	pldB	b3825	pldB	LF82_RS20060														LF82_RS01375	#N/A	242.29	176.85	1101.77	377.79	471.69	178
NP_418664.2	WP_000047539.1	100	100	ridA	b4243	ridA	LF82_RS22790														LF82_RS01380	b0241	3.39	2.63	13.08	3.63	5.22	4.1
NP_416456.1	WP_001282091.1	100	97.81	fliN	b1946	fliN	LF82_RS10105														LF82_RS01385	b0242	86.68	77.98	148.18	112.5	137.77	94.75
NP_416837.1	WP_000824841.1	100	60.494	yfcQ	b2334	smrB	LF82_RS12265														LF82_RS01390	#N/A	110.46	86.17	156.63	108.15	162.99	89.17
NP_417937.1	WP_000173677.1	100	97.015	nikE	b3480	nikE	LF82_RS18215														LF82_RS01395	#N/A	5610.46	4321.25	12804.49	9455.86	16347.47	4486.35
NP_414891.4	WP_001141271.1	100	100	frmR	b0357	frmR	LF82_RS01775														LF82_RS01400	b0243	19.53	13.86	25.66	9.15	23.12	7.71
NP_416392.1	WP_001202078.1	100	96.154	flhE	b1878	flhe	LF82_RS09775														LF82_RS01405	#N/A	5.6	8.73	17.95	11.68	11.14	1.75
YP_009518790.1	WP_071524604.1	100	100	ynfQ	b4724	ynfQ	LF82_RS24120														LF82_RS01410	#N/A	82.26	53.55	138.65	99.16	124.86	47.72
NP_418215.1	WP_001311244.1	100	100	ilvL	b3766	ilvL	LF82_RS19765														LF82_RS26045	#N/A	5	2.92	9	5	9.29	2.83
NP_415079.1	WP_001053004.1	100	95.364	ybcN	b0547	ybcN	LF82_RS05880														LF82_RS26050	#N/A	5.24	4.58	7.33	7.41	10.87	2
NP_417753.1	WP_001216368.1	100	100	rplQ	b3294	rplQ	LF82_RS17260														LF82_RS26055	#N/A	4.48	3.53	5.55	6.93	11.92	3.6
NP_415951.1	WP_000429162.1	100	97.753	sutR	b1434	sutR	LF82_RS07355														LF82_RS01440	#N/A	14.24	24.78	59.35	59.34	140.89	42.75
NP_414691.1	WP_000918175.1	100	99.645	mrcB	b0149	fhuA	LF82_RS00800														LF82_RS23705	b0287	9.08	5.33	7.5	18.25	17.25	12
NP_415375.1	WP_000126098.1	100	99.189	potF	b0854	potF	LF82_RS04075														LF82_RS01445	b0288	33.08	30.05	88.33	21.39	27.58	6
NP_415396.1	WP_000488716.1	100	99.567	aqpZ	b0875	aqpZ	LF82_RS04180														LF82_RS01450	b0289	4.27	5.04	20.9	9.5	11.66	3
NP_417272.1	WP_000206985.1	100	97.248	yqcC	b2792	yqcC	LF82_RS14465														LF82_RS01455	b0290	11.95	10.17	29.75	18.47	37.09	9.41
NP_416714.1	WP_000758050.1	100	99.453	mqo	b2210	mqo	LF82_RS11645														LF82_RS01460	b0291	14.6	13.57	27.27	17.42	36.51	5.22
NP_415704.1	WP_000406377.1	100	99.61	nhaB	b1186	nhaB	LF82_RS06275														LF82_RS01465	b0292	3.96	8.22	10.91	3.57	14.91	1.52
NP_417320.1	WP_000383248.1	100	99.281	kduI	b2843	kduI	LF82_RS14865														LF82_RS01470	b0293	13.08	18.38	36.95	27.54	39.2	10.99
NP_416952.2	WP_000387713.1	100	100	eutM	b2457	eutM	LF82_RS12745														LF82_RS01475	#N/A	6.03	6.67	3.83	3.17	12.08	2.62
NP_415277.1	WP_000931396.1	100	99.133	galM	b0756	galM	LF82_RS03565														LF82_RS25030	b0294	3.21	2.55	1.62	9.1	6.59	1
NP_416138.1	WP_000125605.1	100	99.245	malX	b1621	malX	LF82_RS08425														LF82_RS01480	b4506	1.5	1.6	2.92	1.94	2.29	2.1
NP_417679.2	WP_001468228.1	100	99.664	gltB	b3212	gltB	LF82_RS16825														LF82_RS01485	#N/A	4	2.5	22.78	3.33	3.83	1.33
YP_026233.1	WP_000741500.1	100	99.739	yiaY	b3589	yiaY	LF82_RS18850														LF82_RS01490	#N/A	2.2	2.1	62.16	2	1	0
NP_416917.1	WP_000021034.1	100	99.452	cysA	b2422	cysA	LF82_RS12625														LF82_RS01495	#N/A	9.33	7.76	8.65	9.73	9.18	9.02
NP_417101.1	WP_000460035.1	100	100	ffh	b2610	ffh	LF82_RS13500														LF82_RS01500	#N/A	70	65.22	117.62	81.3	124.91	43.49
NP_416282.4	WP_001135068.1	99	97.642	pncA	b1768	pncA	LF82_RS09190														LF82_RS01505	#N/A	14.11	14.41	44.87	27.04	38.18	19.04
NP_415985.1	WP_001350241.1	100	98.636	narZ	b1468	narZ	LF82_RS07565														LF82_RS01510	b0900	13.21	15.76	52.23	18.35	32.57	15.79
NP_417065.1	WP_000589057.1	100	99.371	rseC	b2570	rseC	LF82_RS13265														LF82_RS01515	#N/A	12.79	18.33	39.65	19.58	28.93	6.56
YP_026223.1	WP_001021996.1	100	100	livJ	b3460	livJ	LF82_RS18115														LF82_RS01520	#N/A	4.24	1.67	21.67	16.06	6.75	9.07
NP_415257.1	WP_000025458.1	100	100	sucD	b0729	sucD	LF82_RS03425														LF82_RS01525	#N/A	13.87	17.91	35.77	21.41	24.62	13.3
NP_415099.1	WP_001224584.1	100	97.297	ybcH	b0567	ybcH	LF82_RS02645														LF82_RS01530	#N/A	6.52	11.54	31.22	11.5	36.64	6.79
NP_414747.1	WP_000644685.1	100	100	mltD	b0211	mltD	LF82_RS01100														LF82_RS01535	#N/A	15.17	14.53	28.44	24.71	29.2	13.58
NP_415465.1	WP_001295934.1	100	99.405	pyrD	b0945	pyrD	LF82_RS04520														LF82_RS01540	b0301	4.18	4.57	8.81	4.1	4.5	1
NP_418408.1	WP_001275702.1	100	100	secE	b3981	secE	LF82_RS21020														LF82_RS01545	b0303	1.2	1.25	0.51	3.7	3.39	0.5
NP_418107.1	WP_000280473.1	100	99.858	spoT	b3650	spoT	LF82_RS19135														LF82_RS01550	b0304	10.74	7.25	20.02	10.78	24.56	13
NP_418599.1	WP_001177639.1	100	100	nsrR	b4178	nsrR	LF82_RS22435														LF82_RS01555	b0305	6.19	6.26	18.83	17.78	12.05	6.71
NP_418798.1	WP_001298497.1	100	100	deoC	b4381	deoC	LF82_RS23415														LF82_RS01560	b0306	5.72	6.87	49.76	32.1	17.12	11.92
YP_009518833.1	WP_000657674.1	100	95.294	ytiA	b4715	ytiA	LF82_RS23170														LF82_RS01565	b0307	20.16	12.31	105.61	53.52	33.88	22.76
NP_414998.1	WP_000177754.1	100	99.375	mscK	b0465	mscK	LF82_RS26345														LF82_RS01570	b0308	10.02	9.15	47.42	26.74	16.44	10.17
NP_417007.1	WP_001177034.1	100	98.98	bamB	b2512	bamB	LF82_RS12995														LF82_RS01580	b0310	1.43	3.94	3.7	1.67	8.31	0.98
YP_010051199.1	WP_012601751.1	96	91.536	yghF	b2970	gspC	LF82_RS15540														LF82_RS25490	#N/A	16.76	4.85	20.87	13.58	32.6	9
NP_415128.1	WP_000347657.1	100	99.597	entA	b0596	entA	LF82_RS02815														LF82_RS25495	#N/A	7.02	7.82	14.34	11.44	21.4	4.95
NP_414561.1	WP_000062878.1	100	95.017	nhaR	b0020	nhaR	LF82_RS00100														LF82_RS01590	#N/A	2.93	0.11	10.22	4.99	11.32	3.33
NP_414842.4	WP_000370406.1	100	97.835	ykgG	b0308	ykgG	LF82_RS01570														LF82_RS01595	#N/A	7.17	2.42	6.62	2.71	6.57	4.49
NP_415473.1	WP_000828648.1	100	100	rmf	b0953	rmf	LF82_RS04560														LF82_RS01600	#N/A	21.42	16.55	24.6	17.53	56.49	8.65
NP_417909.1	WP_000099282.1	100	99.661	ugpA	b3452	ugpA	LF82_RS18065														LF82_RS01610	b0311	206.44	107.44	856.16	95.74	245.3	86.01
NP_416999.1	WP_000076001.1	100	100	yfgG	b2504	yfgG	LF82_RS12940														LF82_RS01615	b0312	205.57	131.73	1014.28	90.86	183.75	65.25
NP_418355.1	WP_000802217.1	100	98.492	yiiQ	b3920	yiiQ	LF82_RS20670														LF82_RS01620	b0313	118.42	86.5	680.14	49.83	91.76	21.75
NP_415723.1	WP_000823885.1	100	100	ychH	b1205	ychH	LF82_RS06395														LF82_RS01625	b0314	114.04	65.98	527.22	54.61	109.04	45.75
NP_415590.1	WP_000955713.1	100	96.804	flgA	b1072	flgA	LF82_RS05425														LF82_RS01635	b0315	14.66	25.03	20.09	16.69	51.57	23.7
NP_418126.1	WP_001181706.1	100	100	ilvN	b3670	ilvN	LF82_RS19305														LF82_RS01640	b0316	15.41	14.37	30.85	26.33	31.51	9.75
NP_417854.4	WP_001296474.1	100	96.139	hofM	b3395	hofM	LF82_RS17745														LF82_RS01645	b0317	0.96	0.36	1.42	1.07	2.28	0.25
NP_416890.1	WP_000903096.1	100	98.565	yfeO	b2389	yfeO	LF82_RS12460														LF82_RS01650	b0318	3.18	1.03	3.8	6.12	9.5	4.64
NP_416189.1	WP_001070247.1	100	99.519	ydhY	b1674	ydhY	LF82_RS08705														LF82_RS01655	b0319	2.65	4.03	3.32	2.85	6.87	2.25
YP_588450.2	WP_001296035.1	100	96.364	yciX	b4523	yciX	LF82_RS06795														LF82_RS01660	b0320	6.01	6.46	11.54	7.03	6.96	1.85
NP_416077.4	WP_001047127.1	100	97.6	ydfT	b1559	ydfT	LF82_RS08115														LF82_RS01665	b0321	1.57	1.77	7.2	6.28	4.37	3.52
NP_415060.1	WP_001143519.1	100	97.688	ybcI	b0527	ybcI	LF82_RS02595														LF82_RS01670	b0322	2.88	0.5	4.88	2.29	1.64	0.14
YP_026180.1	WP_000573324.1	100	99.465	srlA	b2702	srlA	LF82_RS14010														LF82_RS01675	b0323	2.61	0.49	6.01	2.94	5.55	1.48
NP_417814.1	WP_001274684.1	100	99.654	prkB	b3355	prkB	LF82_RS17570														LF82_RS01680	#N/A	10.13	11.63	24.85	5.43	13.57	9.93
NP_416376.2	WP_001024939.1	100	98	yebB	b1862	yebB	LF82_RS09700														LF82_RS26060	b0324	1.33	0	0	0	1.25	0
